xi_1,xi_2
0.2466662092124685,1.0668113859436779
0.28049971057373285,0.9958500338694094
0.5915168547809456,0.5584928395501629
0.6063863178437039,0.5457782147278601
0.7862823068556573,0.48694395270794044
1.285041344705819,0.4431086065247697
1.3114221929845156,0.4418199341989295
2.0650570045658663,1.1595477265228133
0.24568764926669306,1.6177494084037476
0.23033516830008222,1.6034224786302902
0.20048337640563768,1.5722210420782758
0.18759543072927276,1.5513255546183913
0.18620984746142183,1.548530086010397
0.18382504587591403,1.534346952450277
0.18340888669054106,1.5305353404317548
0.19448429940086495,1.357474898737297
