xi_1,xi_2,P
2.067675638776078,1.0856805481024752,0.0
2.0676234821624186,1.096111783906539,0.0
2.067467017537058,1.1065419765957152,0.0
2.0672062605463286,1.1169700831594265,0.0
2.066841237265712,1.1273950607957066,0.0
2.0663719841972323,1.1378158670154794,0.0
2.0657985482658043,1.1482314597468068,0.0
2.065120986814545,1.1586407974390955,0.0
2.064339367599034,1.1690428391672505,0.0
2.063453768780541,1.1794365447357673,0.0
2.0624642789182106,1.1898208747827503,0.0
2.0613709969602043,1.2001947908838488,0.0
2.0601740322338067,1.2105572556560975,0.0
2.0588735044344926,1.2209072328616544,0.0
2.057469543613959,1.2312436875114237,0.0
2.0559622901671175,1.2415655859685544,0.0
2.054351894818057,1.2518718960518023,0.0
2.05263851860497,1.2621615871387477,0.0
2.0508223328640502,1.2724336302688564,0.0
2.0489035192123586,1.2826869982463753,0.0
2.046882269529661,1.2929206657430516,0.0
2.0447587859392407,1.3031336094006631,0.0
2.0425332807876884,1.3133248079333555,0.0
2.040205976623664,1.3234932422297674,0.0
2.0377771061756444,1.333637895454943,0.0
2.0352469123286503,1.3437577531520142,0.0
2.0326156480999584,1.3538518033436437,0.0
2.0298835766137984,1.3639190366332248,0.0
2.0270509710750426,1.3739584463058172,0.0
2.024118114741884,1.38396902842882,0.0
2.0210853008975116,1.393949781952363,0.0
2.0179528328207836,1.4038997088094114,0.0
2.014721023755896,1.4138178140155708,0.0
2.0113901968810635,1.4237031057685856,0.0
2.0079606852761964,1.4335545955475184,0.0
2.0044328318895985,1.4433712982116007,0.0
2.000806989503668,1.4531522320987469,0.0
1.997083520699622,1.4628964191237186,0.0
1.993262797821238,1.472602884875934,0.0
1.9893452029376202,1.482270658716906,0.0
1.985331127804992,1.4918987738773073,0.0
1.9812209738275217,1.5014862675536453,0.0
1.9770151520171821,1.5110321810045415,0.0
1.972714082952649,1.5205355596466061,0.0
1.9683181967372452,1.5299954531498945,0.0
1.9638279329559287,1.539410915532939,0.0
1.9592437406313357,1.548781005257348,0.0
1.9545660781788783,1.5581047853219574,0.0
1.9497954133609041,1.5673813233565301,0.0
1.9449322232399195,1.5766096917149937,0.0
1.9399769941308835,1.585788967568202,0.0
1.934930221552578,1.5949182329962197,0.0
1.929792410178055,1.603996575080111,0.0
1.9245640737841705,1.6130230859932333,0.0
1.9192457352002068,1.6219968630920172,0.0
1.9138379262555905,1.630917009006231,0.0
1.9083411877267098,1.6397826317287163,0.0
1.902756069282837,1.6485928447045894,0.0
1.8970831294311616,1.6573467669198942,0.0
1.8913229354609422,1.6660435229897044,0.0
1.8854760633867749,1.6746822432456598,0.0
1.8795430978909948,1.683262063822934,0.0
1.8735246322652082,1.6917821267466193,0.0
1.8674212683509617,1.7002415800175232,0.0
1.8612336164795602,1.708639577697368,0.0
1.8549622954110352,1.716975279993384,0.0
1.8486079322722673,1.7252478533422881,0.0
1.8421711624942747,1.7334564704936395,0.0
1.835652629748672,1.7416003105925628,0.0
1.8290529858833007,1.7496785592618354,0.0
1.8223728908570482,1.7576904086833216,0.0
1.8156130126738508,1.765635057678756,0.0
1.8087740273158928,1.77351171178986,0.0
1.8018566186760112,1.781319583357786,0.0
1.7948614784893056,1.7890578916018836,0.0
1.7877893062639652,1.7967258626977771,0.0
1.7806408092113193,1.8043227298547468,0.0
1.773416702175116,1.811847733392408,0.0
1.7661177075600385,1.8193001208166772,0.0
1.7587445552594667,1.8266791468950228,0.0
1.7512979825824857,1.8339840737309858,0.0
1.7437787341801578,1.8412141708379701,0.0
1.7361875619710574,1.84836871521229,0.0
1.7285252250660794,1.8554469914054708,0.0
1.720792489692529,1.8624482915957907,0.0
1.7129901291174998,1.8693719156590656,0.0
1.705118923570547,1.8762171712386588,0.0
1.6971796601656663,1.8829833738147168,0.0
1.6891731328225819,1.8896698467726205,0.0
1.6811001421873562,1.896275921470646,0.0
1.6729614955523253,1.9028009373068284,0.0
1.6647580067753704,1.909244241785022,0.0
1.6564904961985327,1.9156051905801479,0.0
1.6481597905659813,1.9218831476026277,0.0
1.639766722941336,1.9280774850619906,0.0
1.6313121326243658,1.9341875835296527,0.0
1.6227968650670568,1.940212832000859,0.0
1.6142217717890688,1.9461526279557833,0.0
1.6055877102925833,1.9520063774197798,0.0
1.5968955439765549,1.9577734950227805,0.0
1.5881461420503726,1.9634534040578306,0.0
1.579340379446937,1.9690455365387605,0.0
1.5704791367351707,1.9745493332569817,0.0
1.5615633000319604,1.9799642438374088,0.0
1.5525937609135467,1.9852897267934964,0.0
1.5435714163263667,1.990525249581387,0.0
1.534497168497361,1.995670288653164,0.0
1.5253719248437498,2.0007243295092083,0.0
1.516196597882295,2.005686866749646,0.0
1.506972105138046,2.0105574041248886,0.0
1.4976993690525906,2.015335454585257,0.0
1.4883793168918098,2.0200205403296865,0.0
1.4790128806531533,2.0246121928535077,0.0
1.4696009969724393,2.029109952995294,0.0
1.4601446070301927,2.0335133709827797,0.0
1.4506446564575277,2.0378220064778354,0.0
1.441102095241585,2.042035428620502,0.0
